,0
535,26837
536,309561
537,686899
538,249604
539,249608
540,50830
541,176256
542,29477
543,282455
544,32391
545,32397
546,754946
547,37271
548,361684
549,326062
550,605734
551,265010
552,569960
553,8239
554,64641
555,69148
556,199887
557,62329
558,250453
559,347168
560,56541
561,75565
562,423730
563,4909
564,23786
565,165237
566,232843
567,135001
568,135002
569,2457
570,314537
571,2785
572,16925
573,331400
574,307859
575,28184
576,612457
577,807154
578,3692
579,64931
580,14659
581,225460
582,375025
583,480532
584,19771
585,4764
586,7202
587,7201
588,364551
589,5277
590,5270
591,384177
592,719958
593,783390
594,120407
595,64482
596,347548
597,186622
598,91050
599,67174
600,72086
601,712788
602,454129
603,865454
604,231936
605,714125
606,108464
607,83166
608,21036
609,58023
610,62323
611,85138
612,2541
613,868518
614,956439
615,22987
616,466325
617,82156
618,359316
619,117805
620,457706
621,249573
622,4423
623,4421
624,122041
625,248222
626,71236
627,40837
628,17307
629,413092
630,82288
631,13106
632,13103
633,67506
634,67504
635,67502
636,511516
637,859270
638,252108
639,57487
640,810110
641,13268
642,73511
643,308696
644,130739
645,79015
646,86813
647,9548
648,12984
649,47765
650,47764
651,8124
652,354554
653,65605
654,97563
655,649180
656,82275
657,8974
658,26926
659,190295
660,151662
661,1434
662,222903
663,308320
664,308329
665,74764
666,165970
667,3400
668,218820
669,125992
670,508107
671,322248
672,1189
673,179886
674,160705
675,673709
676,4836
677,9415
678,9419
679,111309
680,24412
681,24419
682,191
683,18156
684,38290
685,638471
686,39163
687,39160
688,162236
689,24737
690,110363
691,110366
692,144567
693,132268
694,66130
695,867591
696,93567
697,146726
698,146725
699,626316
700,7035
701,38155
702,173635
703,195274
704,365892
705,169815
706,112872
707,203369
708,263871
709,65361
710,524804
711,71928
712,800397
713,308403
714,128979
715,164804
716,121483
717,85756
718,54733
719,769508
720,381120
721,712243
722,377491
723,130608
724,746128
725,426656
726,10079
727,246849
728,212836
729,29987
730,762788
731,10841
732,2346
733,158895
734,735802
735,1504
736,13188
737,198935
738,26008
739,60687
740,1160
741,206209
742,89184
743,144896
744,16512
745,177782
746,19893
747,151043
748,25062
749,81679
750,116127
751,63548
752,23059
753,23055
754,874092
755,3778
756,232745
757,212020
758,934303
759,225643
760,460048
761,627870
762,255524
763,255521
764,255529
765,883143
766,303964
767,2181
768,810970
769,1653
770,67319
771,67314
772,4192
773,335146
774,321496
775,628885
776,74341
777,123078
778,819466
779,708981
780,269397
781,62101
782,9926
783,262335
784,180596
785,159522
786,81832
787,200460
788,121791
789,584606
790,635842
791,312840
792,350469
793,350464
794,543441
795,48380
796,95602
797,673925
798,676251
799,851038
800,784164
801,66498
802,782770
803,253303
804,198831
805,141519
806,75175
807,313247
808,240181
809,779573
810,432017
811,778226
812,286591
813,825697
814,202731
815,407440
816,135494
817,547336
818,284620
819,22110
820,73243
821,140567
822,25463
823,313231
824,88161
825,663991
826,243115
827,417911
828,1361
829,9630
830,80208
831,247077
832,693439
833,52099
834,240547
835,240543
836,19824
837,9348
838,243093
839,268057
840,297112
841,287432
842,287434
843,83891
844,773926
845,580541
846,666457
847,64801
848,113680
849,60696
850,118217
851,799224
852,367256
853,309087
854,84033
855,317711
856,837392
857,108392
858,947026
859,70439
860,1518
861,122315
862,1517
863,163918
864,298085
865,1871
866,1879
867,698836
868,95118
869,225817
870,893053
871,151270
872,31876
873,139960
874,75601
875,13580
876,13582
877,92912
878,773289
879,309792
880,309793
881,443664
882,724185
883,675737
884,106104
885,189352
886,119874
887,49596
888,150171
889,92899
890,309458
891,664947
892,229884
893,357174
894,204479
895,200897
896,7448
897,5875
898,611375
899,161839
900,63913
901,20893
902,300057
903,78466
904,95049
905,192931
906,16201
907,776124
908,150020
909,945756
910,20700
911,20701
912,932479
913,8726
914,61135
915,7762
916,71729
917,9392
918,194141
919,145048
920,821930
921,678316
922,123508
923,103000
924,537883
925,438565
926,276215
927,323598
928,541371
929,766276
930,348263
931,116832
932,61938
933,2752
934,263285
935,36255
936,47936
937,234612
938,42415
939,821686
940,298732
941,31594
942,99928
943,105473
944,105470
945,105476
946,75715
947,376979
948,128078
949,119025
950,168652
951,753449
952,178546
953,43248
954,153381
955,7875
956,179080
957,54947
958,494387
959,908917
960,416428
961,113203
962,80331
963,320124
964,380913
965,60821
966,105533
967,240291
968,399346
969,15666
970,39353
971,16690
972,416197
973,419432
974,83732
975,157360
976,776241
977,723160
978,66368
979,600014
980,60570
981,332544
982,134713
983,166079
984,754523
985,86533
986,714229
987,38763
988,336201
989,822655
990,20674
991,85016
992,123988
993,123983
994,257069
995,8612
996,428846
997,48715
998,99613
999,308632
1000,265204
1001,817238
1002,71317
1003,180857
1004,84613
1005,173382
1006,282201
1007,2289
1008,249614
1009,633532
1010,772844
1011,111690
1012,169348
1013,386032
1014,512497
1015,473579
1016,31293
1017,326074
1018,6679
1019,84792
1020,312444
1021,71198
1022,65102
1023,69137
1024,199895
1025,502017
1026,356605
1027,75575
1028,116880
1029,3704
1030,4919
1031,678430
1032,6838
1033,316352
1034,333726
1035,224667
1036,7393
1037,125688
1038,654764
1039,47980
1040,393707
1041,13445
1042,115034
1043,804221
1044,478899
1045,430707
1046,104712
1047,308906
1048,346991
1049,63110
1050,64907
1051,481342
1052,678671
1053,109669
1054,298834
1055,822465
1056,937219
1057,244676
1058,71211
1059,719947
1060,1767
1061,92534
1062,861213
1063,448195
1064,71186
1065,178804
1066,30601
1067,89243
1068,103588
1069,206529
1070,373746
1071,73933
1072,20608
1073,63062
1074,59785
1075,8502
1076,268891
1077,292972
1078,174134
1079,59998
1080,31027
1081,642486
1082,656853
1083,70170
1084,660078
1085,15880
1086,568951
1087,8074
1088,12241
1089,21194
1090,8498
1091,26871
1092,913264
1093,350078
1094,350076
1095,3590
1096,58923
1097,76005
1098,39221
1099,35355
1100,397151
1101,446378
1102,1336
1103,185798
1104,121260
1105,423364
1106,889874
1107,65767
1108,729142
1109,129640
1110,515863
1111,12168
1112,179308
1113,571311
1114,479189
1115,1409
1116,1408
1117,318086
1118,26105
1119,26102
1120,63839
1121,182307
1122,112163
1123,239644
1124,88351
1125,68683
1126,573894
1127,836996
1128,349978
1129,349979
1130,783116
1131,161062
1132,359
1133,317861
1134,8543
1135,7774
1136,84755
1137,858007
1138,861940
1139,693782
1140,15966
1141,18732
1142,4767
1143,22822
1144,457704
1145,514212
1146,26927
1147,86995
1148,894107
1149,779987
1150,273942
1151,904157
1152,218428
1153,67182
1154,862600
1155,51974
1156,2349
1157,639860
1158,926454
1159,913042
1160,69
1161,312846
1162,446793
1163,946232
1164,28506
1165,263
1166,269
1167,268
1168,146162
1169,126822
1170,108643
1171,335130
1172,21809
1173,898692
1174,153385
1175,14133
1176,813636
1177,814883
1178,701919
1179,8616
1180,8618
1181,49443
1182,120350
1183,746244
1184,836509
1185,802167
1186,751566
1187,862144
1188,124159
1189,56108
1190,176118
1191,647503
1192,29777
1193,879967
1194,251791
1195,12222
1196,858475
1197,861086
1198,121104
1199,641141
1200,808159
1201,883
1202,73344
1203,792131
1204,491717
1205,23510
1206,52118
1207,45421
1208,155922
1209,543394
1210,104394
1211,319117
1212,295279
1213,507
1214,69677
1215,343881
1216,106222
1217,424137
1218,650596
1219,843470
1220,690
1221,409591
1222,6419
1223,12071
1224,350201
1225,921648
1226,418335
1227,12705
1228,7920
1229,242758
1230,676788
1231,12910
1232,492344
1233,677167
1234,623645
1235,21964
1236,668294
1237,358397
1238,140612
1239,4395
1240,84910
1241,294
1242,40094
1243,877753
1244,835494
1245,19211
1246,255590
1247,333836
1248,933238
1249,21130
1250,2325
1251,770477
1252,23506
1253,867544
1254,2559
1255,676272
1256,239904
1257,698076
1258,18441
1259,604480
1260,64826
1261,513
1262,94708
1263,405509
1264,626040
1265,319391
1266,711825
1267,8708
1268,25360
1269,61911
1270,108661
1271,99715
1272,839949
1273,944843
1274,204987
1275,36283
1276,8637
1277,459304
1278,143092
1279,124679
1280,931013
1281,3728
1282,862169
1283,1354
1284,62728
1285,646458
1286,24518
1287,856067
1288,19724
1289,822448
1290,7271
1291,708024
1292,852981
1293,859733
1294,790544
1295,554121
1296,130762
1297,101
1298,750013
1299,553071
1300,89743
1301,948263
1302,219044
1303,209321
1304,361432
1305,43636
1306,128518
1307,14588
1308,128490
1309,698320
1310,419366
1311,2528
1312,926161
1313,419338
1314,831071
1315,343494
1316,445644
1317,1827
1318,279350
1319,1906
1320,290523
1321,163462
1322,2598
1323,21003
1324,5942
1325,420149
1326,3083
1327,63920
1328,823407
1329,241440
1330,730495
1331,154
1332,28090
1333,31773
1334,858286
1335,416599
1336,64987
1337,861798
1338,206239
1339,478686
1340,35848
1341,57031
1342,27903
1343,409454
1344,862179
1345,252311
1346,913041
1347,932903
1348,915233
1349,86670
1350,738508
1351,82298
1352,51197
1353,866271
1354,308
1355,21363
1356,348622
1357,52586
1358,475198
1359,326430
1360,173913
1361,246715
1362,763164
1363,685212
1364,45374
1365,3382
1366,10786
1367,450754
1368,821454
1369,2405
1370,3119
1371,23375
1372,119351
1373,584122
1374,6740
1375,725125
1376,638986
1377,633869
1378,30694
1379,62994
1380,44106
1381,129777
1382,217522
1383,181515
1384,450617
1385,265805
1386,178848
1387,850115
1388,464252
1389,2491
1390,927745
1391,116143
1392,314
1393,640107
1394,81300
1395,271987
1396,86754
1397,45060
1398,67745
1399,449235
1400,88614
1401,122313
1402,17578
1403,532681
1404,35531
1405,21405
1406,5749
1407,460631
1408,163229
1409,495597
1410,253358
1411,80815
1412,901466
1413,138841
1414,943160
1415,553900
1416,839714
1417,105554
1418,24003
1419,402357
1420,647395
1421,627114
1422,862134
1423,696025
1424,783852
1425,450495
1426,14862
1427,95217
1428,478658
1429,724269
1430,862202
1431,43291
1432,814609
1433,29026
1434,891833
1435,544090
1436,303528
1437,5496
1438,32065
1439,62691
1440,234445
1441,682402
1442,787886
1443,114542
1444,1795
1445,449295
1446,448160
1447,845020
1448,9576
1449,42889
1450,119647
1451,6361
1452,10986
1453,64322
1454,182149
1455,14812
1456,3315
1457,56748
1458,495641
1459,115898
1460,9580
1461,2989
1462,67476
1463,67478
1464,696218
1465,247705
1466,59070
1467,69994
1468,74209
1469,16745
1470,332528
1471,460138
1472,484048
1473,929069
1474,57181
1475,220383
1476,7427
1477,14938
1478,2583
1479,847565
1480,3754
1481,53945
1482,763364
1483,333630
1484,183993
1485,94889
1486,32658
1487,60343
1488,674394
1489,793335
1490,110431
1491,664551
1492,664552
1493,603902
1494,764547
1495,874286
1496,765395
1497,26804
1498,3936
1499,858884
1500,673450
1501,342545
1502,442550
1503,600733
1504,37783
1505,940095
1506,83483
1507,32159
1508,69981
1509,70827
1510,216762
1511,82311
1512,50476
1513,128728
1514,639504
1515,5299
1516,82441
1517,7837
1518,940123
1519,161480
1520,555029
1521,18204
1522,7431
1523,49482
1524,851826
1525,20771
1526,316401
1527,823125
1528,659202
1529,71261
1530,8943
1531,63879
1532,9425
1533,21396
1534,139655
1535,864774
1536,1037
1537,595099
1538,1185
1539,937285
1540,30308
1541,485121
1542,5660
1543,45291
1544,200795
1545,9123
1546,409319
1547,689802
1548,23292
1549,70687
1550,7782
1551,54115
1552,582411
1553,71712
1554,363555
1555,446699
1556,788765
1557,3023
1558,49999
1559,39539
1560,953187
1561,594803
1562,718991
1563,52901
1564,83333
1565,53114
1566,69614
1567,312436
1568,212830
1569,349369
1570,168685
1571,682249
1572,406241
1573,921
1574,38000
1575,49118
1576,1695
1577,8623
1578,588565
1579,650656
1580,361
1581,286131
1582,839595
1583,927192
1584,799779
1585,51201
1586,662807
1587,73403
1588,164382
1589,1561
1590,57479
1591,60878
1592,70583
1593,357191
1594,835838
1595,13776
1596,365807
1597,408054
1598,17469
1599,647403
1600,288475
1601,664110
1602,218667
1603,835882
1604,846762
1605,266913
1606,70063
1607,347044
1608,95321
1609,54
1610,703616
1611,757556
1612,2851
1613,144358
1614,859581
1615,6613
1616,105812
1617,409283
1618,34305
1619,553756
1620,496
1621,523175
1622,280252
1623,370
1624,2164
1625,7022
1626,65377
1627,89850
1628,7359
1629,198927
1630,467663
1631,699565
1632,114432
1633,31881
1634,66053
1635,50146
1636,741956
1637,20324
1638,378165
1639,910914
1640,951064
1641,460267
1642,194213
1643,852073
1644,898715
1645,78222
1646,202435
1647,167103
1648,181727
1649,556210
1650,309782
1651,1896
1652,609982
1653,150162
1654,279
1655,18898
1656,426207
1657,28400
1658,65889
1659,437005
1660,935676
1661,420194
1662,596178
1663,13249
1664,597
1665,941220
1666,80655
1667,728615
1668,445183
1669,278824
1670,441710
1671,745204
1672,19153
1673,368380
1674,419500
1675,601203
1676,468955
1677,93749
1678,9345
1679,229867
1680,493752
1681,323773
1682,310071
1683,31144
1684,358137
1685,438703
1686,755561
1687,611663
1688,796993
1689,2379
1690,735697
1691,594084
1692,96580
1693,651711
1694,859023
1695,866381
1696,20269
1697,927108
1698,45104
1699,318958
1700,314393
1701,36784
1702,555569
1703,13878
1704,13873
1705,45348
1706,473551
1707,22980
1708,439853
1709,143446
1710,488
1711,46396
1712,17305
1713,67507
1714,498819
1715,893996
1716,2870
1717,73512
1718,326198
1719,819855
1720,248383
1721,539824
1722,1433
1723,792276
1724,75490
1725,3409
1726,924527
1727,342
1728,96556
1729,30111
1730,43053
1731,20416
1732,792339
1733,5509
1734,899800
1735,425200
1736,60491
1737,18759
1738,339580
1739,71124
1740,620682
1741,496781
1742,498964
1743,902381
1744,33624
1745,390970
1746,6024
1747,357266
1748,631246
1749,509937
1750,8805
1751,315
1752,1164
1753,66991
1754,9525
1755,9520
1756,348596
1757,895206
1758,861187
1759,354676
1760,720255
1761,460047
1762,152446
1763,1158
1764,55640
1765,578722
1766,395763
1767,667050
1768,106055
1769,10534
1770,848788
1771,2578
1772,350466
1773,542388
1774,625534
1775,763123
1776,674135
1777,916077
1778,616221
1779,5882
1780,663996
1781,210559
1782,9636
1783,552731
1784,107387
1785,426303
1786,750539
1787,424245
1788,292151
1789,2177
1790,455248
1791,138916
1792,11049
1793,759871
1794,804838
1795,429045
1796,796228
1797,334315
1798,42521
1799,3158
1800,692795
1801,896976
1802,940401
1803,15710
1804,843468
1805,20890
1806,23700
1807,18556
1808,10053
1809,691917
1810,113504
1811,832846
1812,486506
1813,9396
1814,169563
1815,251
1816,812872
1817,690825
1818,161682
1819,419141
1820,678485
1821,472137
1822,741560
1823,547700
1824,940161
1825,11211
1826,7931
1827,792087
1828,3630
1829,896962
1830,552494
1831,701518
1832,43242
1833,7876
1834,27750
1835,567887
1836,230418
1837,416191
1838,738482
1839,420932
1840,232342
1841,76743
1842,687748
1843,811876
1844,909974
1845,17953
1846,637
1847,4567
1848,30491
1849,875635
1850,686885
1851,599224
1852,276367
1853,427602
1854,570072
1855,220701
1856,40540
1857,26729
1858,591736
1859,617143
1860,4687
1861,202685
1862,951719
1863,504863
1864,848911
1865,26213
1866,107747
1867,406551
1868,657235
1869,129478
1870,81524
1871,683603
1872,109668
1873,539477
1874,957295
1875,105675
1876,304
1877,559548
1878,526962
1879,43785
1880,453816
1881,10746
1882,932696
1883,932698
1884,65221
1885,64577
1886,456445
1887,833681
1888,633442
1889,19569
1890,738553
1891,24800
1892,926915
1893,819840
1894,845031
1895,244978
1896,19221
1897,1404
1898,792266
1899,386171
1900,3416
1901,138443
1902,938326
1903,654317
1904,498122
1905,9982
1906,861325
1907,365889
1908,602868
1909,10375
1910,60505
1911,186994
1912,620881
1913,3285
1914,958177
1915,430337
1916,426343
1917,685472
1918,685473
1919,249981
1920,800636
1921,23013
1922,385
1923,840996
1924,897941
1925,916290
1926,941810
1927,150357
1928,307079
1929,356929
1930,563960
1931,789
1932,838351
1933,744388
1934,890547
1935,728598
1936,12414
1937,496065
1938,680499
1939,896739
1940,18803
1941,236999
1942,406603
1943,9643
1944,289002
1945,819625
1946,426315
1947,771322
1948,18435
1949,519850
1950,614493
1951,597293
1952,587251
1953,667113
1954,752091
1955,165010
1956,913677
1957,147178
1958,941441
1959,335051
1960,125627
1961,523
1962,26428
1963,24049
1964,846715
1965,276549
1966,184893
1967,930044
1968,820779
1969,428359
1970,854466
1971,894030
1972,771865
1973,364633
1974,670969
1975,792952
1976,757639
1977,957587
1978,11182
1979,327721
1980,440183
1981,306489
1982,116820
1983,222091
1984,866905
1985,11204
1986,502330
1987,339030
1988,713930
1989,891639
1990,111876
1991,202870
1992,784654
1993,175666
1994,751194
1995,788943
1996,747951
1997,853069
1998,24390
1999,411
2000,921567
2001,75854
2002,229842
2003,453974
2004,427799
2005,609022
2006,262795
2007,489344
2008,621
2009,109315
2010,678848
2011,834612
2012,62595
2013,840057
2014,121324
2015,125136
2016,571678
2017,102007
2018,83557
2019,864968
2020,54627
2021,251803
2022,727703
2023,914871
2024,109615
2025,19716
2026,491508
2027,440327
2028,449548
2029,580965
2030,828167
2031,591723
2032,10770
2033,412706
2034,713310
2035,4406
2036,779200
2037,1595
2038,1591
2039,12491
2040,26098
2041,800540
2042,17287
2043,276970
2044,106171
2045,5400
2046,57033
2047,445420
2048,861576
2049,915650
2050,616271
2051,862189
2052,80121
2053,118150
2054,292091
2055,450814
2056,940810
2057,38175
2058,245901
2059,17198
2060,12515
2061,188811
2062,473409
2063,375580
2064,43950
2065,367747
2066,64362
2067,875088
2068,446553
2069,319894
2070,57370
2071,631262
2072,6897
2073,853992
2074,107995
2075,399876
2076,663927
2077,942244
2078,876036
2079,46363
2080,447239
2081,857872
2082,27619
2083,56702
2084,1526
2085,5770
2086,78119
2087,665055
2088,25007
2089,301001
2090,58276
2091,37807
2092,37802
2093,25851
2094,413108
2095,391
2096,354640
2097,277249
2098,336407
2099,813272
2100,451444
2101,95183
2102,21409
2103,106488
2104,54032
2105,713174
2106,6259
2107,426046
2108,46551
2109,52557
2110,38476
2111,496073
2112,38856
2113,572005
2114,107202
2115,55541
2116,230111
2117,657713
2118,824868
2119,927676
2120,255412
2121,82512
2122,9658
2123,9659
2124,3362
2125,205294
2126,930261
2127,488142
2128,578638
2129,18447
2130,636450
2131,284949
2132,885718
2133,163540
2134,448525
2135,551865
2136,147442
2137,510
2138,863889
2139,106114
2140,285064
2141,1855
2142,768034
2143,18680
2144,862049
2145,907725
2146,92937
2147,616334
2148,5164
2149,13357
2150,27649
2151,424101
2152,945371
2153,5855
2154,925868
2155,798708
2156,58523
2157,684
2158,711820
2159,721817
2160,2155
2161,687567
2162,288586
2163,415234
2164,54128
2165,11653
2166,926812
2167,703122
2168,4611
2169,2709
2170,509286
2171,208619
2172,382950
2173,707315
2174,331319
2175,20064
2176,792337
2177,792513
2178,100207
2179,749393
2180,19064
2181,96467
2182,7918
2183,815977
2184,275312
2185,642845
2186,941565
2187,275406
2188,751437
2189,896909
2190,442690
2191,24200
2192,861891
2193,716581
2194,7516
2195,7519
2196,65867
2197,398148
2198,435443
2199,840767
2200,326117
2201,52663
2202,660129
2203,84636
2204,96063
2205,373420
2206,613117
2207,428156
2208,314448
2209,735921
2210,280366
2211,537469
2212,837328
2213,38963
2214,301648
2215,750168
2216,14608
2217,914865
2218,45939
2219,1744
2220,1743
2221,22876
2222,619785
2223,274847
2224,828895
2225,466693
2226,8520
2227,491284
2228,192209
2229,31001
2230,84522
2231,797783
2232,480216
2233,127510
2234,12268
2235,8888
2236,754881
2237,382368
2238,521055
2239,19205
2240,96640
2241,1468
2242,1463
2243,26121
2244,875340
2245,4223
2246,288609
2247,110315
2248,874774
2249,220948
2250,43970
2251,353994
2252,461986
2253,345387
2254,108276
2255,712762
2256,241890
2257,11664
2258,1641
2259,17550
2260,284703
2261,2374
2262,2372
2263,519849
2264,12346
2265,943051
2266,98528
2267,113348
2268,5764
2269,461298
2270,93303
2271,86167
2272,310486
2273,53756
2274,259735
2275,470338
2276,558903
2277,31668
2278,55790
2279,102742
2280,919925
2281,882291
2282,383052
2283,46521
2284,147553
2285,273455
2286,16770
2287,17427
2288,10908
2289,53038
2290,821399
2291,690273
2292,1339
2293,9663
2294,860916
2295,23745
2296,7685
2297,521
2298,86099
2299,13470
2300,467442
2301,460147
2302,104908
2303,330547
2304,38665
2305,31842
2306,488871
2307,755
2308,759
2309,168169
2310,12933
2311,271248
2312,913813
2313,17646
2314,930023
2315,779596
2316,771926
2317,683417
2318,408257
2319,494276
2320,752235
2321,600119
2322,84691
2323,495619
2324,13285
2325,8715
2326,9528
2327,926868
2328,115482
2329,761396
2330,158
2331,888286
2332,543430
2333,12854
2334,28092
2335,2705
2336,555685
2337,726741
2338,594862
2339,442927
2340,16954
2341,7900
2342,849964
2343,35018
2344,890968
2345,425030
2346,198473
2347,17921
2348,585034
2349,438525
2350,66252
2351,903969
2352,1645
2353,910001
2354,93787
2355,21115
2356,238753
2357,243795
2358,28222
2359,340638
2360,325
2361,488457
2362,341762
2363,835584
2364,851721
2365,167023
2366,3492
2367,24969
2368,147604
2369,755036
2370,733801
2371,105014
2372,845653
2373,21947
2374,752048
2375,950528
2376,684485
2377,896481
2378,6359
2379,118629
2380,74259
2381,626489
2382,128244
2383,41346
2384,60485
2385,55742
2386,383713
2387,16783
2388,13656
2389,52353
2390,26079
2391,137813
2392,139080
2393,843
2394,841
2395,538091
2396,26135
2397,230310
2398,924680
2399,405162
2400,551179
2401,55574
2402,826084
2403,3962
2404,18112
2405,514119
2406,296628
2407,55771
2408,262628
2409,369829
2410,876454
2411,263833
2412,375848
2413,725844
2414,708895
2415,905302
2416,579716
2417,911909
2418,12302
2419,11663
2420,924050
2421,3275
2422,72336
2423,874820
2424,124465
2425,284159
2426,245721
2427,425870
2428,778286
2429,778284
2430,778282
2431,778280
2432,5980
2433,778288
2434,635776
2435,559008
2436,458332
2437,494923
2438,270
2439,272
2440,277
2441,916016
2442,323053
2443,323057
2444,549757
2445,671257
2446,932030
2447,742886
2448,353263
2449,742880
2450,821005
2451,168081
2452,926661
2453,719209
2454,874976
2455,587137
2456,285157
2457,242148
2458,599247
2459,446243
2460,65884
2461,65885
2462,65887
2463,948162
2464,876162
2465,458330
2466,570828
2467,491824
2468,816264
2469,107893
2470,654358
2471,683451
2472,672731
2473,951779
2474,141843
2475,260883
2476,763188
2477,763185
2478,879025
2479,802879
2480,802871
2481,943962
2482,534266
2483,9755
2484,9754
2485,9753
2486,819546
2487,233039
2488,315108
2489,404994
2490,664750
2491,268467
2492,390493
2493,562093
2494,598190
2495,374554
2496,954617
2497,105478
2498,607305
2499,188772
2500,857766
2501,614661
2502,448838
2503,402037
2504,131317
2505,615530
2506,667793
2507,703738
2508,653110
